,tweetid,user_screen_name,user_reported_location,user_profile_description,follower_count,following_count,follower-to-following_ratio,account_creation_date,year_of_account_creation,month_of_account_creation,tweet_time,tweet_year,tweet_month,tweet_day,content,links,upper,average_num_of_words,bot_or_not
0,638180408731893761,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",35988,11010,3.2686648501362403,2014-05-05 00:00:00,2014,5,2015-08-31 02:44:00,2015,8,31,New Orleans Saints' Sean Payton says penalty on long return 'will cost us a game'  #news,0,0,4.5,1
1,892656081238990849,TodayNYCity,"New York, NY","New York City's local news on Twitter. Breaking news, sports, events and international news. Tweet us or DM",66980,10500,6.379047619047619,2014-08-27 00:00:00,2014,8,2017-08-02 07:59:00,2017,8,2,Suicide suspected in death of Brooklyn singer found in creek https://t.co/7CDYdbzP2N https://t.co/wcZnoZOEVA,2,0,8.083333333333334,1
2,722669578220908546,Seattle_Post,"Seattle, WA","Be the first to know Seattle's local news. Politics, sport, entertainment, business, features and more that you need to know and share",25263,10975,2.301867881548976,2014-06-15 00:00:00,2014,6,2016-04-20 06:13:00,2016,4,20,Comedian Tracy Morgan scraps planned Mississippi performance https://t.co/Kn0wiNxEyN #entertainment,1,0,10.111111111111107,1
3,613089385014128640,Seattle_Post,"Seattle, WA","Be the first to know Seattle's local news. Politics, sport, entertainment, business, features and more that you need to know and share",25263,10975,2.301867881548976,2014-06-15 00:00:00,2014,6,2015-06-22 21:01:00,2015,6,22,Maryland governor says he has cancer of lymph nodes  #local,0,0,4.9,1
4,619873759940489216,AndyHashtagger,I AM A CITIZEN OF THE UNIVERSE,#Hashtag warrior | I follow back | Bacon is my one true love | Contact me: sparksandrew6@gmail.com or DMs,22026,12966,1.6987505784359094,2014-10-26 00:00:00,2014,10,2015-07-11 14:19:00,2015,7,11,@grosby81 Nice! http://t.co/7i7QK1vUJM,0,0,12.0,1
5,512045028135677952,17c81a0b2a56cf28fd781c377ad286eee77c13de74d8815e98e3f5daa45f239c,New York,on the top of the world,56,124,0.4516129032258064,2013-12-23 00:00:00,2013,12,2014-09-17 01:07:00,2014,9,17,"Plato is dear to me, but dearer still is truth.",0,0,3.8,1
6,631169480568082432,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",35988,11010,3.2686648501362403,2014-05-05 00:00:00,2014,5,2015-08-11 18:25:00,2015,8,11,Watch Saints QB Drew Brees' accuracy as he nails a moving target  #news,0,1,4.461538461538462,1
7,851987830633115649,PhoenixDailyNew,"City of Phoenix, Arizona","Local news, sports, business, politics, entertainment, travel and opinion for Phoenix and Arizona. DM us 24/7",18574,7903,2.350246741743641,2014-08-28 00:00:00,2014,8,2017-04-12 02:38:00,2017,4,12,Attorney General Jeff Sessions paints grim portrait of rising crime in U.S. in address... https://t.co/oORHp8fTmi https://t.co/R4mpfr9Zlu,2,1,7.625,1
8,557644051340881920,OnlineMemphis,"Memphis, TN","Breaking news, weather, traffic and more for Memphis and Tennessee. DM us anytime. RTs not endorsements",22212,8953,2.4809561040991848,2014-05-29 00:00:00,2014,5,2015-01-20 21:01:00,2015,1,20,Baker Donelson appoints new president and COO  #business,0,1,6.0,1
9,596106256395427841,56078c7539382d72f23d6958f0c74928ae27bd6e6a798e3cfcfe661696d3fc62,United States,"We may make our plans, but God has the last word. #blm #blc #black #blacklivesmatters",484,2056,0.23540856031128404,2013-07-25 00:00:00,2013,7,2015-05-07 00:16:00,2015,5,7,One of the most obvious facts about grownups to a child is that they have forgotten what it is like to be a child.,0,0,3.7916666666666665,1
10,640994642800939008,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",40762,14404,2.829908358789225,2014-08-15 00:00:00,2014,8,2015-09-07 21:06:00,2015,9,7,Luxembourg footballers struck down by food poisoning  #health,0,0,6.625,1
11,803247969147424768,AmandaVGreen,United States,You have to go through the worst to arrive at your best,7067,5350,1.3209345794392524,2014-06-17 00:00:00,2014,6,2016-11-28 14:43:00,2016,11,28,#ToDoListBeforeChristmas find my second half,0,0,8.0,1
